607,0.09,-0.37,9.91,-0.02,0.04,0.01
643,0.02,-0.53,9.85,-0.02,0.03,0.01
668,-0.03,-0.47,9.92,-0.02,0.04,0.01
693,0.00,-0.48,9.92,-0.02,0.03,0.01
717,0.08,-0.46,9.90,-0.02,0.02,0.02
743,0.13,-0.51,10.01,-0.02,0.03,0.02
768,0.05,-0.51,9.93,-0.02,0.04,0.01
792,-0.06,-0.45,9.90,-0.02,0.03,0.01
818,-0.07,-0.48,9.85,-0.02,0.03,0.00
842,0.08,-0.50,10.07,-0.02,0.01,0.00
870,0.08,-0.44,9.92,-0.01,0.04,0.00
894,-0.01,-0.52,9.92,-0.00,0.04,0.00
919,0.07,-0.48,9.89,-0.01,0.03,0.01
945,-0.05,-0.48,9.79,-0.03,0.05,0.01
972,0.06,-0.42,9.96,-0.08,0.09,0.00
997,0.02,-0.50,9.94,-0.05,0.07,0.00
1022,-0.08,-0.60,9.89,-0.03,0.06,0.01
1047,-0.03,-0.56,9.88,-0.04,0.07,0.00
1073,-0.03,-0.54,9.96,-0.03,0.05,0.01
1097,-0.07,-0.53,9.96,-0.03,0.04,-0.00
1123,-0.06,-0.53,9.97,-0.03,0.04,0.01
1148,-0.09,-0.57,9.88,-0.00,0.02,0.01
1173,-0.03,-0.60,9.85,-0.01,0.01,0.01
1199,0.06,-0.51,10.03,-0.03,0.05,0.00
1223,-0.08,-0.55,9.97,-0.04,0.07,-0.00
1249,-0.03,-0.47,9.89,-0.08,0.10,0.00
1273,-0.16,-0.62,9.98,-0.05,0.09,-0.01
1302,-0.12,-0.57,9.88,-0.00,0.01,0.01
1327,-0.08,-0.57,9.92,-0.01,0.03,0.01
1352,-0.06,-0.59,9.94,-0.00,0.03,0.01
1378,-0.13,-0.60,9.94,0.00,0.01,0.01
1402,-0.03,-0.52,10.05,0.00,0.00,0.01
1427,-0.16,-0.56,9.80,0.00,-0.01,0.01
1453,-0.15,-0.64,9.87,0.01,-0.02,0.01
1478,-0.03,-0.62,9.94,-0.02,0.04,0.01
1503,-0.14,-0.54,9.94,-0.03,0.04,0.01
1528,0.09,-0.54,10.01,-0.12,0.12,0.01
1553,-0.16,-0.62,9.96,-0.16,0.12,0.01
1579,-0.21,-0.75,9.90,-0.08,0.07,-0.00
